trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.8072505532727369, 'e': 0.763173134540909}",20,0,-176.30010319288155,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
136,False,"{'a': 0.8057816588288584, 'e': 0.7616467882718272}",25,0,-89.16697850450004,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
137,False,"{'a': 0.7793361351792557, 'e': 0.7601234946952835}",30,0,-107.49418292659708,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
138,False,"{'a': 0.7680346018463625, 'e': 0.7586032477058929}",20,0,-24.801219496461307,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
139,False,"{'a': 0.8196813897625411, 'e': 0.7570860412104812}",25,0,-23.639440124192966,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
140,False,"{'a': 0.8345048235965686, 'e': 0.7555718691280602}",25,0,-149.35183438492794,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
141,False,"{'a': 0.922734186153239, 'e': 0.7540607253898041}",25,3,-87.21774619927461,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 2}",1
142,False,"{'a': 0.8369604226427764, 'e': 0.7525526039390245}",20,0,-29.04721031271071,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
143,False,"{'a': 0.8877483225866315, 'e': 0.7510474987311464}",20,0,-172.11406535276507,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
144,False,"{'a': 0.9145128045786048, 'e': 0.7495454037336841}",20,0,-70.53038089990292,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
145,False,"{'a': 0.8184407232451792, 'e': 0.7480463129262167}",20,14,3.7273371547511083,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8901721814130655, 'e': 0.7465502203003642}",20,10,11.337916925610218,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.903218500093745, 'e': 0.7450571198597635}",35,0,-142.2787506644598,"{0: 22, 1: 5, 2: 6, 3: 0, 4: 2}",0
148,False,"{'a': 0.845123184653255, 'e': 0.743567005620044}",20,0,-119.30997037035523,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
149,False,"{'a': 0.8356498251957981, 'e': 0.7420798716088038}",25,0,-64.71494563968612,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
150,False,"{'a': 0.8909566354643748, 'e': 0.7405957118655863}",25,0,-113.52153213476176,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
151,False,"{'a': 0.913485578647813, 'e': 0.7391145204418551}",25,0,-80.46256513253711,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
152,False,"{'a': 0.8467869808315667, 'e': 0.7376362914009714}",25,6,-38.59911023997331,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
153,False,"{'a': 0.9004014046303188, 'e': 0.7361610188181695}",25,0,-86.47788664519545,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
154,False,"{'a': 0.7428065197400847, 'e': 0.7346886967805332}",30,12,-84.05502580067622,"{0: 12, 1: 0, 2: 2, 3: 4, 4: 0}",1
155,False,"{'a': 0.7602781343431693, 'e': 0.733219319386972}",20,0,-25.314747984962978,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
156,False,"{'a': 0.7824556146695022, 'e': 0.7317528807481981}",20,0,-78.53423583575757,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
157,False,"{'a': 0.8748630276435297, 'e': 0.7302893749867018}",20,2,-69.89992001234688,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
158,False,"{'a': 0.8800511084995224, 'e': 0.7288287962367284}",25,0,-50.05442928726937,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
159,False,"{'a': 0.8073310697092404, 'e': 0.727371138644255}",25,0,-45.474916019159565,"{0: 21, 1: 0, 2: 1, 3: 3, 4: 0}",0
160,False,"{'a': 0.7938569855061014, 'e': 0.7259163963669665}",20,0,-34.1969664716415,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
161,False,"{'a': 0.9167225957324279, 'e': 0.7244645635742325}",25,11,-69.24603942156509,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
162,False,"{'a': 0.7261766803836094, 'e': 0.723015634447084}",25,0,-93.34777128910909,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
163,False,"{'a': 0.8585781296251347, 'e': 0.7215696031781899}",20,6,-50.55407826632188,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
164,False,"{'a': 0.8993369657180419, 'e': 0.7201264639718334}",25,0,-69.80254200112402,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
165,False,"{'a': 0.8053316522024008, 'e': 0.7186862110438897}",30,6,-30.030445378781657,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 0}",1
