trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
262,False,"{'a': 0.07184904244991488, 'e': 0.07184904244991488}",25,8,-0.17354329682140168,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
263,False,"{'a': 0.07113055202541574, 'e': 0.07113055202541574}",20,15,8.961390072202487,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.07041924650516158, 'e': 0.07041924650516158}",20,10,18.641609115986807,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.06971505404010997, 'e': 0.06971505404010997}",20,16,8.12635950751466,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.06901790349970886, 'e': 0.06901790349970886}",20,6,27.605805544754965,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.06832772446471178, 'e': 0.06832772446471178}",20,16,6.909982563358641,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.06764444722006466, 'e': 0.06764444722006466}",25,15,-3.9818681043187034,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
269,False,"{'a': 0.066968002747864, 'e': 0.066968002747864}",20,14,-1.7606135705556913,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.06629832272038537, 'e': 0.06629832272038537}",20,0,19.274706378258227,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
271,False,"{'a': 0.06563533949318151, 'e': 0.06563533949318151}",25,15,18.720723744622507,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.06497898609824969, 'e': 0.06497898609824969}",25,14,20.404981598684405,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.0643291962372672, 'e': 0.0643291962372672}",20,3,-27.279708056691,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
274,False,"{'a': 0.06368590427489453, 'e': 0.06368590427489453}",20,10,16.651284910743268,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.06304904523214558, 'e': 0.06304904523214558}",25,15,19.876537334304068,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.06241855477982412, 'e': 0.06241855477982412}",20,9,20.0210920388547,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.06179436923202588, 'e': 0.06179436923202588}",20,12,15.73317842570248,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.06117642553970562, 'e': 0.06117642553970562}",20,13,11.716286692336645,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.06056466128430856, 'e': 0.06056466128430856}",25,11,28.3564737913901,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.05995901467146548, 'e': 0.05995901467146548}",25,2,29.419651285679635,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.05935942452475082, 'e': 0.05935942452475082}",20,12,14.96575946205572,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.058765830279503314, 'e': 0.058765830279503314}",25,13,8.929792058955284,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
283,False,"{'a': 0.05817817197670828, 'e': 0.05817817197670828}",20,6,16.91752497170047,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.057596390256941195, 'e': 0.057596390256941195}",20,12,9.627737532971596,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
